wowday,wowdate,wowinfo
14,2014,"November 2014: For the first time in several years, many players experience queues to get into the game, some showing backups of thousands of players and hours of waiting. Debate on fansites are confused if this is due to Blizzard not having enough servers or a continuation of the DDoS attack."
14,2014,"August 2014: Blizzard debuts the Warlords of Draenor cinematic at GamesCom 2014, and announces a release date of November 13th."
14,2014,"October 2014: Patch 6.0.2 is released, as the Iron Horde invades the Blasted Lands! With the arrival of the new horde, from the Dark Portal, new character models have arrived, as well as skirmishes and an inventory update to sort toys and items via banks or the interface. Guild advancements are removed, and Auction Houses are not Unified for each realm, combining the previously separate Horde, Alliance, and Neutral Auction House."
15,2014,"November 2014: For the first time in several years, many players experience queues to get into the game, some showing backups of thousands of players and hours of waiting. Debate on fansites are confused if this is due to Blizzard not having enough servers or a continuation of the DDoS attack."
16,2014,"November 2014: For the first time in several years, many players experience queues to get into the game, some showing backups of thousands of players and hours of waiting. Debate on fansites are confused if this is due to Blizzard not having enough servers or a continuation of the DDoS attack."
17,2014,"November 2014: Gorehowl crashes into Shanghai, China. Gorehowl is much bigger than the one in New York. The area is cordoned off with tape that reads www.wowchina.com."
18,2014,"February 2014: Patch 5.4.7 is released, preparing for the upcoming Warlords of Draenor Collector`s Edition and retiring the Scroll of Resurrection."
19,2014,"November 2014: It is announced that Warlords of Draenor sold 3.3 million box copies (the majority of players had pre-ordered digitally) and the subscriber base was back up to 10 million! An incredible high, to levels of that of Wrath of the Lich King."
20,2014,"May 2014: Patch 5.4.8 is released, which is just a minor patch that increases the max upgrade level from +8 to +16. I have no idea what this means."
21,2014,"June 2014: The player Doubleagent becomes the first neutral pandaren character to reach level cap (90). He achieved this without ever leaving the starting area and only mining or picking herbs for experience points. He began in 2012, and his time played on reaching 90 was over 170 days.
"
21,2014,"November 2014: World of Warcraft turned 10 years old! Players are awarded "WoW`s 10th Anniversary" achievement, along with the [Molten Corgi] battle pet. Alongside with the standard awards for each anniversary, players can participate in the temporary battleground: Tarren Mill vs. Southshore. Players can also experience one of the first raids in the original World of Warcraft release, Molten Core (revamped to handle the current year but still mostly preserved from its original counterpart)."
27,2014,"June 2014: Warlords of Draenor enters beta testing!"
1,2015,"September 2015: Patch 6.2.2 is released, allowing players who completed the "Draenor Pathfinder" achievement can now fly in Draenor after 9+ months of being grounded."
3,2015,"February 2015: The Blackrock Foundry opens its gates, as Blackhand and his weaponry stands before you for Normal and Heroic difficulty. The Fiery Bird, Rukhmar, starts to fly around the Spires of Arak, taking a dedicated group of heroes to fight such a beast."
3,2015,"February 2015: The former writers of WoW Insider open a new website, Blizzard Watch.
"
4,2015,"August 2015: Blizzard announces that subscriptions in the second quarter of 2015 dropped to 5.6 million in 8 months - the lowest since 2005 and the sharpest decline yet, but still posted "better than expected financial results"."
6,2015,"August 2015: As announced before, Blizzard announces their newest expansion, World of Warcraft: Legion, in GamesCom 2015.
"
7,2015,"November 2015: Blizzcon 2015 takes place in the Anaheim Convention Center, California. Previews of Legion content were covered in panels on the main stage as the expansion is still being made. Attendees received a goodie bag, rewarding a [Murkidan] mini-pet which resembles Illidan Stormrage."
8,2015,"November 2015: Blog posts are shown for the next few days, giving users a general idea of how Blizzard wants to handle each of the 11 classes. Today was the introduction and overview."
9,2015,"November 2015: Blog posts are shown for the next few days, giving users a general idea of how Blizzard wants to handle each of the 11 classes. Today's classes are: Hunter, Mage, Priest."
10,2015,"November 2015: Blog posts are shown for the next few days, giving users a general idea of how Blizzard wants to handle each of the 11 classes. Today's classes are: Death Knight, Paladin, Warlock."
11,2015,"November 2015: Blog posts are shown for the next few days, giving users a general idea of how Blizzard wants to handle each of the 11 classes. Today's classes are: Monk, Shaman, Warrior."
12,2015,"November 2015: Blog posts are shown for the next few days, giving users a general idea of how Blizzard wants to handle each of the 11 classes. Today's classes are: Druid, Rogue."
16,2015,"July 2015: The High Commander of the Burning Legion, Archimonde, falls once more within the Hellfire Citadel by the hands of Serenity, from Twisting Nether-EU. Gul'dan`s plan is thwarted and sent to a portal for another chance to succeed."
17,2015,"November 2015: Patch 6.2.3 is released, introducing cross-realm Mythic raiding, the introduction to Timewalking dungeons (Cataclysm to be exact) and the re-introduction of Valor and item upgrading."
20,2015,"February 2015: After Method, of Twisting Nether-EU, traversed through Blackrock Foundry, ending many of its functionalities, the leader of the Blackrock Clan and Chief of the Foundry, Blackhand, assaulted the mighty guild, only to fall onto the hardened magma he created."
23,2015,"June 2015: Patch 6.2.0 is released, unlocking the Tanaan Jungle zone and introducing garrison shipyards. The fel-consumed fortress of Hellfire Citadel opens its doors for normal and heroic difficulty, as Gul'dan attempts to establish a foothold for his new army."
23,2015,"November 2015: Legion Alpha begins!"
24,2015,"February 2015: Patch 6.1.0 is released, updating the Blood Elf character model and adding the Heirloom collections tab."
29,2015,"July 2015: In a break from tradition, Blizzard announces that the next expansion will be revealed at Gamescom 2015."
30,2015,"January 2015: In an AOL restructuring eliminating less-profitable sites, WoW Insider closes up after nine years."
8,2016,"February 2016: Blizzard`s 25th Anniversary!!!"
15,2016,"November 2016: Helya`s Guarddog of Hellheim, Guarm, is put to sleep by the courageous valor of Limit from Illidan-US."
15,2016,"November 2016: Odyn`s Trials, in order to see who among us is worthy enough to take on Helya, have found SNF from Sargeras-US to be the first to be deemed worthy for the task at hand!"
18,2016,"April 2016: Legion's release date is announced to release in August 30th, 2016."
18,2016,"November 2016: Helya`s vengeance and reign is lost is the sea of souls, thanks to the heroes of the guild Method, from Tarren Mill-EU!"
19,2016,"July 2016: Patch 7.0.3 is released, implementing the new transmogrification system and abilities/talents revamp. The Legion begins to invade all around Azeroth, destroying the land and causing havoc!"
25,2016,"October 2016: Patch 7.1 is released, introducing new world quests, mounts, and the Nightfallen insurrection quest campaign. The Legion forces are attempting to make a base in Karazhan, as we must return to the once-abandoned castle to stop their plans. At the same time, Oydn has given us a chance to prove our worth and the opportunity to take care of Helya once and for all in the Trial of Valor raid instance."
27,2016,"September 2016: The feral bear, Ursoc, is tamed and skinned by the hands of Midwinter from Sargeras-US."
27,2016,"September 2016: The corrupted druid, Elerethe Renferal, is put to rest by Easy of Aerie Peak-US within the Emerald Nightmare."
27,2016,"September 2016: The decaying dragon, Nythendra, falls and crumbles during the fight with Easy of Aerie Peak-US for the first time."
27,2016,"September 2016: The Dragons of Nightmare awaken to death from Midwinter from Sargeras-US, as their spirits leave the haunting nightmare realm."
28,2016,"September 2016: Rejoice, the end of Ilgynoth came soon when met with Экзорсус of Howling Fjord-EU. He now journeys to Nyalotha."
28,2016,"September 2016: The corrupted Demigod, Cenarius, was taught a lesson by Экзорсус of Howling Fjord-EU. Hopefully he will be purified once more."
29,2016,"September 2016: The ambitious, corrupted, and ugly Satyr, Xavius, breaths his last within the Emerald Nightmare. This great deed was done with the people of Экзорсус of Howling Fjord-EU."
30,2016,"August 2016: World of Warcraft: Legion expansion launches globally! The level cap is increased to 110, while we begin to establish a base of operations within the Broken Isles. Along with new dungeons and the new Demon Hunter class, we notice the pathway to the Emerald Nightmare raid open, as corrupted horrors have been expecting our arrival."
3,2017,"November 2017: Blizzcon 2017 takes place in the Anaheim Convention Center, California. The announcement and cinematic for World of Warcraft`s newst expansion, Battle for Azeroth, was announced, as well as the reveal of World of Warcraft: Classic. Attendees of the convention, either in person or online, were given an Alliance/Horde-themed mount."
4,2017,"February 2017: The malicious warlock, Gul'dan is defeated at the top of the Nighthold! Such a feat was accomplished by the guild Экзорсус of Howling Fjord-EU!!! They were even able to slay the newly-created avatar of Sargeras, possessing the body of Illidan Stormrage!"
4,2017,"November 2017: Blizzcon 2017 takes place in the Anaheim Convention Center, California. The announcement and cinematic for World of Warcraft`s newst expansion, Battle for Azeroth, was announced, as well as the reveal of World of Warcraft: Classic. Attendees of the convention, either in person or online, were given an Alliance/Horde-themed mount."
4,2017,"July 2017: The reanimated avatar of Sargeras is met with a climatic end once Method, of Tarren Mill-EU, ready themselves."
5,2017,"December 2017: The inventor of the war machines, Kin-garoth, was ruined by the hands of Limit from US-Illidan."
5,2017,"December 2017: Limit from US-illidan has calculated the odds of Antoran High Command`s survival in Mythic difficulty: 0!"
5,2017,"December 2017: The notorious bounty hunter, Imonar, was taken out by Limit of US-Illidan before he could collect his bounty."
5,2017,"December 2017: The Life-Binder`s essence is freed from the grasps of the Burning Legion due to the heroism of Limit from US-Illidan."
5,2017,"December 2017: As the gates to Antorus open, the war machine, Garothi Worldbreaker, was torn to pieces by the might of Big Dumb Guild from US-Illidan."
5,2017,"December 2017: Deep within the stronghold, the master of portals that would aid the legion in conquering worlds through the Great Dark Beyond, Hasabel, was decimated by the actions of Limit from US-Illidan."
6,2017,"December 2017: Twisting the minds of the fallen titans, The Coven of Shivarra were unable to meet their goals of the Dark Pantheon due to Limit's (from US-Illidan) heroism."
6,2017,"December 2017: After his failure during the Third War, Varimathras, punished and broken beyond belief, fights to avenage his failings against Limit from US-Illidan...only to fail for the last time."
7,2017,"December 2017: Reborn as the titan of destruction, not even Aggramar and his burning blade, Taeshalach, could withstand the might of Method from Tarren Mill-EU."
10,2017,"January 2017: Patch 7.1.5 is released, opening Suramar`s famed palace, The Nighthold, as Gul'dan is attempting to corrupt the Nightborne and bring his leader into our world. The Brawler's Guild also returns, as Mist of Pandaria Timewalking dungeons and Micro-Holidays are introduced."
13,2017,"June 2017: Patch 7.2.5 is released, adding new Micro-Holidays, the Trial of Style holiday event, and the Death of Chromie scenario!"
13,2017,"December 2017: The titan of Argus, corrupted and droven to insanity by Sargeras, finally falls to the triumphant Method of Tarren Mill-EU! Sargeras crusade finally comes to an end, as we leave with his final bout against the betrayer, Illidan Stormrage."
16,2017,"July 2017: The high commander of the Burning Legion, the Deceiver Kil'Jaeden, is cut short within his own flagship! This act of valor, thanks to Method of Tarren Mill-EU, opens the gateway to Argus, setting up for whats to come!"
20,2017,"June 2017: We are finally ready to finish the fight with the Legion, as The Tomb of Sargeras raid instance finally opens. Kil'Jaeden awaits us at his Flagship!"
24,2017,"January 2017: The hardened scorpion, Skorpyron, crumbles beneath the might of SNF of Sargeras, US!"
24,2017,"January 2017: SNF from Sargeras-US continues their dominance with the elimination of the dysfunctional robot, Trilliax!"
24,2017,"January 2017: The Arcane Amalgamation, Chromatic Anomaly, disappears for the first time as SNF from Sargeras, US proceeds forward."
25,2017,"January 2017: The doom lord slayer of Tirion Fordring, Krosus, crumbles at the might of Limit of Illidan-US!"
25,2017,"January 2017: The High Botanist Telarn is cut short for the first time with the help of Serenity of Twisting Nether-EU!"
25,2017,"January 2017: The leader of the Nathrezim, Tichondrius, could not fool Limit of Illidan-US! The demon fails his tasks and is sent back to the Twisting Nether."
27,2017,"June 2017: The big, dumb, Naga brute, Harjatan, is beaten by Big Dumb Guild of Illidan-US!"
27,2017,"June 2017: Easy, from Aerie Peak-US, found it quite easy to defeat the two jailing brothers, Demonic Inquisition!"
27,2017,"June 2017: Despite their deaths a millennia ago, the Sisters of the moons vigil ends at the hands of Big Dumb Guild of Illidan-US."
27,2017,"June 2017: Easy, from Aerie Peak-US, shows how easy it is to defeat a demon like Goroth, considering this the World First Mythic Kill!"
27,2017,"January 2017: The stars align, showing a future where Star Augur Etraeus is no more! This prophecy was brought to life thanks to Serenity from Twisting Nether-EU."
28,2017,"March 2017: Patch 7.2 is released, as we take the fight to the Legion onto the Broken Shore! While the fight eventually leads us to the Tomb of Sargeras raid, we are still making preparations and must fend off constant Legion Assaults in the Broken Isles. Yet the Cathedral of Eternal Night dungeon is accessible! Flying also becomes available to those who completed the designated achievements."
28,2017,"June 2017: The collection of tainted souls, the Desolate Host, is finally freed from the fel-energies that possessed it, thanks to Big Dumb Guild, of Illidan-US!"
28,2017,"June 2017: The high commander of the Naga and denizens of the ocean, Mistress Sassz'ine, fails her mission to obtain the relic thanks to the experience and might of Method, from Tarren Mill-EU!"
29,2017,"August 2017: Patch 7.3 "Shadow of Argus" is released on US realms. This patchs brings us to a new world called Argus, as well as a new Dungeon (Seat of ther Triumvirate) and a new raid (Antorus, The Burning Throne) at a later date. The patch updated the relic system via the Netherlight Crucible, updated profesions, and invasion points throughout the new world."
29,2017,"June 2017: Corrupted Guardian of the Tomb, The Maiden of Vigilance is relieved of her duty with the help of the guild Method, of Tarren Mill-EU."
29,2017,"November 2017: Antorus, The Burning Throne is broken through for Normal and Heroic Difficulties! Ascend through the Legion`s main fortress to fight through horrors, commanders, and titans! Your calculations of survival: 0!"
30,2017,"January 2017: Time has shifted again and again and again! Yet, no matter how many iterations, Grand Magistrix Elisande falls from the might of Serenity of Twisting Nether-EU!"
5,2107,"December 2017: Sargeras` favorite dogs, the Felhounds, were put down by the guild Limit`s cruel actions  from US-Illidan."
